rule,sharpe_all,cagr,maxdd,bp,win%,sh_train,sh_test,n,avg_hz
T+1 sl=8.0 tp=20.0,1.2552671425539195,21.23897831437409,17.04700562954844,77.10082700536893,50.86737548964745,0.9784215137218565,0.5621571344549483,1787,1.0
plain T+4,1.4262852656074987,31.759119201147733,28.410889486753334,164.12900448036595,56.463346390598765,0.8345412275705012,0.5577331065391868,1787,4.0
T+1 sl=10.0 tp=15.0,1.4567251841313573,25.24732194790793,19.780888719379796,92.82842320481443,54.00111919418019,1.103187998036325,0.5570314766467193,1787,1.0
T+1 sl=5.0 tp=10.0,1.122145864997692,14.469813520652686,15.88297642831854,54.69692674374336,45.71908226077224,0.7494474894216961,0.5562511886897621,1787,1.0
T+5 sl=15.0 tp=15.0,1.2612794550827593,22.41028595858814,27.407231401144173,121.5335108905569,55.62395075545608,0.5843582883264438,0.5555573553846361,1787,5.0
T+3 sl=8.0 tp=20.0,1.2793806597444894,22.252786233561395,18.796919906159815,97.39714815231903,49.97202014549524,0.8604543842200821,0.5546899854206226,1787,3.0
gd T+3/T+1 sl=10.0 tp=15.0,1.5407551249626035,26.72924363638607,22.8113116227175,103.79034791280709,54.28091773922775,1.0858557867184393,0.5539994479735437,1787,2.186345831001679
rev T+5 sl=5.0 tp=15.0,0.9924416584859002,13.216778899591318,15.190723386829019,65.08512155708156,36.98936765528819,0.5179791033713766,0.5539696565469416,1787,3.289871292669278
gd T+3/T+1 sl=8.0 tp=15.0,1.3195688173725844,21.48101312590107,18.74968652707112,82.54700428169795,50.92333519865697,0.9495699662897968,0.5485454066075424,1787,2.186345831001679
T+1 sl=8.0 tp=15.0,1.1959776178359949,19.474037816812782,19.396174047709668,72.52975252325659,51.035254616676,0.9287546169126738,0.548345368768752,1787,1.0
T+3 sl=8.0 tp=15.0,1.232805414622467,20.039618804412164,20.654758286287123,89.68809405344963,50.36373810856184,0.7979180754829756,0.54667237440186,1787,3.0
gd T+3/T+1 sl=5.0 tp=20.0,1.2037731355271555,17.537244732957767,17.89446958621116,68.9958377688436,42.41745942921097,0.8004964530325022,0.5373322370441127,1787,2.186345831001679
T+3 sl=5.0 tp=15.0,1.1639311146157734,16.449677932984574,19.271783238065197,70.0472343540753,41.41018466703973,0.7647067339136533,0.536852293739593,1787,3.0
T+3 sl=5.0 tp=20.0,1.1866709923310268,17.896674243447784,18.562740505449593,72.77463984055792,40.90654728595411,0.8215356651983149,0.5272248465496271,1787,3.0
gd T+3/T+1 sl=10.0 tp=20.0,1.5607137796528816,28.275488002159065,22.619795495580608,111.93875442554985,54.057078903189705,1.1116118319298103,0.5208466622015118,1787,2.186345831001679
rev T+3 sl=5.0 tp=10.0,0.9817359449243322,12.47301278005548,15.54284410641067,60.45909984694901,41.18634583100168,0.5685563855623571,0.5171385035249347,1787,2.144935646334639
gd T+3/T+1 sl=8.0 tp=20.0,1.3473666725133953,22.95592546063352,18.551853948437813,90.53422848405789,50.69949636261891,0.9889969690261617,0.5154437141605317,1787,2.186345831001679
T+3 sl=15.0 tp=-,1.4793094647640412,31.562929186045665,26.03380334030191,141.34308942051067,55.84778959149412,1.0588562985064691,0.5068022065438783,1787,3.0
T+3 sl=5.0 tp=10.0,1.0945951480363039,13.598117914677177,18.069662204395144,62.211394692435604,43.98433128147733,0.7427903221127488,0.5054735118237086,1787,3.0
rev T+3 sl=5.0 tp=20.0,1.0283757553136768,15.816038606223714,19.439283864409607,71.58215460248408,38.05260212646894,0.6156140895640988,0.5045961376793112,1787,2.144935646334639
T+3 sl=15.0 tp=30.0,1.5083701203499404,31.505636922048797,26.293086772705287,137.52707870189536,55.903749300503634,1.0822857710152107,0.49853012228821586,1787,3.0
T+5 sl=15.0 tp=20.0,1.2802763439757012,23.973112156728703,21.953926916074863,130.0385655465862,55.120313374370454,0.6319544019288577,0.4949056300285017,1787,5.0
rev T+5 sl=5.0 tp=10.0,1.0196517581951459,12.22554465807184,14.289667371807024,60.86293077301867,40.51482932288752,0.544619119139978,0.4816816592231361,1787,3.289871292669278
T+3 sl=10.0 tp=10.0,1.337506461639084,20.780455977643044,18.872281898404186,99.49839327035343,56.23950755456072,0.9279075042735161,0.4765649440086137,1787,3.0
T+3 sl=10.0 tp=20.0,1.4347569086257286,26.95767073366755,22.021543507094023,118.25053646771104,53.273642977056525,0.9744715071368664,0.47211622774447176,1787,3.0
rev T+5 sl=5.0 tp=20.0,0.9486555893266004,13.27826917571031,15.70624694447953,67.17263859560933,36.261891438164525,0.5407485492729561,0.47185219886039365,1787,3.289871292669278
T+1 sl=15.0 tp=30.0,1.437826575807127,27.239425573270793,21.78919495877033,102.5786790211409,55.51203133743704,1.151984962548588,0.47155483242240087,1787,1.0
T+1 sl=5.0 tp=20.0,1.0653530529255273,15.584027525244615,16.634090076901977,57.136783487971805,43.59261331841074,0.7351198985831081,0.47122069119632587,1787,1.0
T+5 sl=10.0 tp=10.0,1.2291336034966662,17.7738093843252,18.751155535864882,96.06288112497398,55.7358701734751,0.5641171918587873,0.4692278714190688,1787,5.0
T+1 sl=15.0 tp=-,1.4189096409243003,27.03292336971912,21.78919495877041,102.344887581352,55.51203133743704,1.1207697504321055,0.46526382088455903,1787,1.0
T+1 sl=5.0 tp=15.0,1.0215945613674724,14.342315275232353,16.669325321336892,54.583257061638584,43.87241186345831,0.6922544457566125,0.4630983928710184,1787,1.0
T+3 sl=10.0 tp=15.0,1.3910762385922195,24.36310818364895,23.805420795875254,109.80821022457097,53.609401231113594,0.9323837180832,0.4620335906475561,1787,3.0
rev T+5 sl=15.0 tp=30.0,1.160984992036176,22.44997242801039,23.892525694180954,104.54526288444997,45.15948517067711,0.7448713456872278,0.45379031556207,1787,3.289871292669278
T+5 sl=10.0 tp=15.0,1.1842670189010416,19.275843005741788,23.582763331442315,101.30287214249638,52.3223279238948,0.6185849478260144,0.43114692250333575,1787,5.0
T+5 sl=8.0 tp=10.0,1.004070191062215,13.245195798964616,17.41814201197859,80.2629816588546,52.3223279238948,0.44722202893339397,0.42826543096434044,1787,5.0
rev T+5 sl=15.0 tp=-,1.094150283379327,21.529936465380594,23.892525694180968,103.7687848629014,45.1035254616676,0.7063506901056184,0.4215126850278473,1787,3.289871292669278
T+3 sl=8.0 tp=-,1.2255094519229832,23.025761633805807,21.594078939929663,105.04006739262628,49.63626189143817,0.9336094097848775,0.4039290343626709,1787,3.0
T+5 sl=8.0 tp=15.0,0.9438367646331103,13.93847128538026,21.402578752964864,83.02612974078423,48.68494683827644,0.49560960831946366,0.3941414173602104,1787,5.0
T+3 sl=8.0 tp=30.0,1.2238054148016753,21.76149860783536,21.870586416209946,97.47163562733158,49.63626189143817,0.9348713552603055,0.39222447052587994,1787,3.0
T+5 sl=10.0 tp=20.0,1.2096351426974872,20.80723820417807,17.282971214815824,110.07597398562211,51.762730833799665,0.658949771919607,0.3838379232539872,1787,5.0
rev T+5 sl=8.0 tp=30.0,1.0121787098123114,17.092915642134486,16.645085110458226,81.19362822705995,41.41018466703973,0.7633506366787421,0.3506191637526776,1787,3.289871292669278
gd T+3/T+1 sl=5.0 tp=30.0,1.0960686861265074,16.396474334702795,21.24986881875497,63.53689457264047,41.96978175713486,0.8425577566668648,0.34537644335597867,1787,2.186345831001679
T+3 sl=5.0 tp=-,1.112533830384571,18.675652539017218,19.633955524108725,79.21027995880557,40.402909904868494,0.8765105099309122,0.342938143367326,1787,3.0
gd T+3/T+1 sl=5.0 tp=-,1.0952281361089549,18.18997541140126,21.249868818754926,70.56446427855927,41.96978175713486,0.8276019249524555,0.3402498529866354,1787,2.186345831001679
gd T+3/T+1 sl=8.0 tp=30.0,1.2509290932524262,21.704078008248008,22.29734493383556,87.0035158686252,50.36373810856184,1.0263946730071043,0.3358302008894952,1787,2.186345831001679
gd T+3/T+1 sl=10.0 tp=30.0,1.4540156340404333,26.721448777916756,26.427874733665945,107.61902672405627,53.72132064913262,1.138305132527738,0.3341120059505126,1787,2.186345831001679
gd T+3/T+1 sl=8.0 tp=-,1.24818955594757,23.544720835272305,22.29734493383556,94.00652817232508,50.36373810856184,0.9944218045725984,0.3330793018156005,1787,2.186345831001679
T+3 sl=5.0 tp=30.0,1.1112209939274347,17.4251236214533,19.9180122190448,71.61729079129192,40.402909904868494,0.8787203936326877,0.3313944562168541,1787,3.0
