hz,stop,tgt,bp,bp_train,bp_test,t_test,win%,stop%,tp%,wick%,dbp,sh_train,sh_test,arm
T+1,2%,-,53.19346862321338,59.2633155092681,43.28862274729493,2.111643512966731,26.748740906547287,72.13206491326245,0.0,41.27230411171451,-76.23572077859683,1.0332099836512603,0.5092741947921907,full
T+1,2%,5%,45.15667192671623,41.81769656710532,50.60525027494723,3.9123730437844317,37.82876329043089,61.44376049244544,35.08673754896475,41.712204007285976,-84.272517475094,1.1857948781092245,1.1264321706142655,full
T+1,2%,8%,50.109245257266394,47.8274128622842,53.83276557190596,3.3151560930386803,30.665920537213204,68.38276440962507,20.76105204252938,41.48936170212766,-79.31994414454384,1.06607244928213,0.9566744649940966,full
T+1,2%,10%,55.69396171655692,54.468935452848534,57.6929736461429,3.238360764733974,29.099048684946837,69.7817571348629,15.10912143256855,41.138732959101844,-73.7352276852533,1.132198817667944,0.9332724283482967,full
T+1,2%,15%,53.54970714516083,52.21741216070218,55.72376140551454,2.7977851221475665,27.252378287632904,71.62842753217683,5.763850027979855,41.09375,-75.87948225664941,1.0361176776457144,0.7627777073451449,full
T+1,2%,20%,54.88656195577763,57.5310432507919,50.571267000143145,2.4801055162308736,26.97257974258534,71.9082260772244,2.630106323447118,41.245136186770424,-74.54262744603258,1.0480888461736981,0.6812407136283598,full
T+1,2%,0.5xEM,-1.7020371294138747,-2.380143480279901,-0.5954953963364746,-0.07096992709638698,56.29546726357023,43.536653609401235,55.95970900951315,44.087403598971726,-131.13122653122406,-0.132212720055372,0.1778623901868913,full
T+1,2%,1xEM,27.98014188596519,28.471421660342862,27.178465906568327,2.2876045565576097,46.67039731393397,52.99384443200895,44.54392837157247,42.977824709609294,-101.44904751584502,0.9124177404274353,0.7392295047947017,full
T+1,2%,1.5xEM,32.43643934410846,32.925860258173465,31.63779667432344,2.2663386357114486,39.50755456071629,59.82092893116956,34.4711807498601,42.1889616463985,-96.99275005770174,1.0013231193107008,0.7347045832465517,full
T+1,3%,-,53.463627924143886,68.02709865724877,29.69878908426139,1.3000437089320835,34.41522104085058,62.00335758254057,0.0,35.64981949458484,-75.96556147766631,1.0675646922023385,0.2848255141562439,full
